Name,Website,Institution,Kategorie,Kurz Beschreibung,Schlagworte,"Themen (aufteilen in Kurz Beschreibung und Schlagworten, danach löschen)","Fachbereich / Material (aufteilen in Kurz Beschreibung und Schlagworten, danach löschen)",Land,Sprache,Software / Modell / Format,Semantic,Lizenz,Open access,Aktuell/gepflegt,Kommentar,Kontakt,Betrifft Konservierung/Restaurierung,Betrifft Denkmalschutz,Responsive,Letzte Aktualisierung
Health & Safety Guides A Conservator's Guide to Labeling Hazardous Chemicals  - Glossary,https://www.conservation-wiki.com/wiki/Health_%26_Safety:_A_Conservator%27s_Guide_to_Labeling_Hazardous_Chemicals#Glossary_.28takenfrom_29_CFR_1910._1200.28c.29.29,American Institute for Conservation,<KI-Generiert> Fachtext,"<KI-Generiert> Ein Leitfaden zur Kennzeichnung gefährlicher Chemikalien für Restauratoren, der Informationen zu OSHA-Vorschriften, Kennzeichnungssystemen (NFPA, NPCA) und Verfahren zur ordnungsgemäßen Kennzeichnung gefährlicher Chemikalien enthält.","<KI-Generiert> Gesundheit, Sicherheit, Gefährliche Chemikalien, Kennzeichnung, Restaurierung, OSHA, NFPA, NPCA, HMIS, Materialien, Behandlung, Forschung, Analyse, Präventive Konservierung, Arbeitspraktiken",Materialien,Alle,<KI-Generiert> USA,englisch,MediaWiki,-,<KI-Generiert> Copyright: 2025. The Health & Safety Wiki pages are a publication of the Health & Safety Committee of the American Institute for Conservation of Historic and Artistic Works.,X,X,NW: vgl. conservation-wiki,AIC Bonnie Naugle (Communications & Membership Director) bnaugle@culturalheritage.org,True,,True,2019-02-21
HERACLES,https://www.european-mrs.com/networking-project/heracles,European Union’s Horizon 2020,<KI-Generiert> Fachtext,"<KI-Generiert> HERACLES (HEritage Resilience Against CLimate Events on Site) zielt darauf ab, reaktionsfähige Systeme/Lösungen für eine effektive Widerstandsfähigkeit von CH gegenüber den Auswirkungen des Klimawandels zu entwickeln, zu validieren und zu fördern. Maßnahmen, Zustand, Wand und Stein","<KI-Generiert> Maßnahmen, Zustand, Wand, Stein","Maßnahmen, Zustand",Wand und Stein,<KI-Generiert> Italy,englisch,WebGenesis / SWEET,X,<KI-Generiert> European Union’s Framework Programme for Research and Innovation HORIZON 2020 under grant agreement No 700395,X,,,,True,,True,2004-02-01
Herein: Terminology,https://www.coe.int/en/web/herein-system/terminology,Council of Europe,<KI-Generiert> Fachtext,<KI-Generiert> Dokumentation,<KI-Generiert> Schlagwörter,Dokumentation,Alle,,"deutsch, englisch, etc.",PDF,-,,X,-,NW: Übersetzungen und z.T. Definitionen. Untersch. PDFs in untersch. Sprachen,birgitta.ringbeck@diplo.de,True,,False,
hericare heritage conservation and restoration experience,https://www.hericare.de/german/start.php,"Hornemann-Institut, HAWK Hildesheim",<KI-Generiert> Datenbank,"<KI-Generiert> Online-Datenbank zur Erhaltung von Kulturerbe. Dokumentation von interessanten Erhaltungsprojekten, u.a. von MONUFAKT Der Deutschen Bundesstiftung Umwelt, mit vielen weiterführenden Informationen. Dokumentation Stein-, Wandmalerei-, Glas- und Metallrestaurierung","<KI-Generiert> Erhaltungsprojekte, MONUFAKT, Steinrestaurierung, Wandmalereirestaurierung, Glasrestaurierung, Metallrestaurierung",Dokumentation,"Stein-, Wandmalerei-, Glas- und Metallrestaurierung",,"deutsch, englisch",,,,X,-,,,True,,True,
Heritage Data – Linked Data Vocabularies for Cultural Heritage,https://www.heritagedata.org/blog/about-heritage-data/fish/,The Forum on Information Standards in Heritage,<KI-Generiert> Vokabular,"<KI-Generiert> Linked Data Vokabulare für das kulturelle Erbe. Objekte, Maßnahmen, Techniken, Zustand","<KI-Generiert> Objekte, Maßnahmen, Techniken, Zustand","Objekte, Maßnahmen, Techniken, Zustand",Alle,,englisch,"Linked Open Data, SKOS RDF",X,,X,,,,True,True,True,2019-05-07
IANUS FDM-Empfehlungen,https://ianus-fdz.de/it-empfehlungen/,IANUS Forschungsdatenzentrum Archäologie & Altertumswissenschaften ,<KI-Generiert> Fachtext,"<KI-Generiert> technische Formate und inhaltliche Beschreibung von Daten und Methoden, die für die langfristige Archivierung, Bereitstellung und Nachnutzung von Daten von zentraler Bedeutung sind, verschiedene Metadatenstandard-Empfehlungen, verschiedene Empfehlungen zu kontrollierten Vokabularen","<KI-Generiert> Metadatenstandards, Vokabularen, Langzeitarchivierung","technische Formate und inhaltliche Beschreibung von Daten und Methoden, die für die langfristige Archivierung, Bereitstellung und Nachnutzung von Daten von zentraler Bedeutung sind, verschiedene Metadatenstandard-Empfehlungen, verschiedene Empfehlungen zu kontrollierten Vokabularen","Empfehlungen zu Metadatenstandards, Vokabularen und Langzeitarchivierung",DE,deutsch,<KI-Generiert> HTML,,<KI-Generiert> CC BY-SA 4.0,x,,https://ianus-fdz.de/it-empfehlungen/projektphasen/dokumentation/kontrollierte-vokabulare-thesauri-und-normdaten/ - Empfehlungen zu kontrollierten Vokabularen; https://ianus-fdz.de/it-empfehlungen/projektphasen/dokumentation/strukturierung-von-metadaten/ - Empfehlungen zu Metadaten,,,True,True,
IASA Cataloging Rules,https://www.iasa-web.org/cataloguing-rules/appendix-c-terms-physical-condition-sound-recordings,International Association of Sound and Audiovisual Archives,<KI-Generiert> Fachtext,"<KI-Generiert> Die IASA-Katalogisierungsregeln enthalten englischsprachige Begriffe und Definitionen, die sich auf häufige Zustandsprobleme bei Schallaufnahmen (Schallplatten und Magnetbänder) beziehen. Schlagwörter: Zustand, Neue Medien.","<KI-Generiert> Zustand, Neue Medien",Zustand,Neue Medien,,englisch,HTML,-,,X,-,NW: Nicht vollständig aber hilfreich,Research Archives Section  Chair: Marija Dumnić Vilotijević Institute of Musicology SASA Knez Mihailova 36 11000 Belgrade Serbia Phone: +381 113287798 e-mail: marijadumnic@yahoo.com(link sends e-mail),True,,True,2023-01-01
iDAI.bibliography / Zenon,https://zenon.dainst.org/,Deutsches Archäologisches Institut (DAI),<KI-Generiert> Datenbank,"<KI-Generiert> Literatur, Archäologie","<KI-Generiert> Literatur, Archäologie",Literatur,Archäologie,,deutsch,HTML,-,,X,X,NW: Hilfreich für uns. Austausch/Verknüpfung könnte hilfreich sein, idai.bibliography@dainst.de,True,,True,2016-09-15
Illustrated Glossary by the York Glaziers Trust,http://www.yorkglazierstrust.org/resources/illustrated-glossary/,The York Glaziers Trust,<KI-Generiert> Fachtext,<KI-Generiert> Glossar mit Objekten und Techniken im Bereich Glas.,"<KI-Generiert> Objekte, Techniken, Glas","Objekte, Techniken",Glas,,englisch,HTML,-,,X,-,"NW: Begriffe, Erklärungen und Fotos",info@yorkglazierstrust.org,True,,True,
Illustrated Glossary of Paper Conservation: damages and treatments,https://finotracoeditora.files.wordpress.com/2022/06/illustrated-glossary-_en.pdf,"Silvana Bojanoski, Márcia Almada",<KI-Generiert> Fachtext,"<KI-Generiert> Ein illustriertes Glossar zur Papierkonservierung, das Schäden und Behandlungen im Zusammenhang mit Papier erläutert.","<KI-Generiert> Konservierung, Papier, Schäden, Behandlungen","Maßnahmen, Zustand",Papier,,englisch etc.,PDF,X,,X,-,"NW: Begriffe, Erklärungen und Fotos. Restaurierungsbegriffe. Austausch/Verknüpfung könnte sinvoll sein",https://www.researchgate.net/profile/Marcia-Almada,True,,True,
Illustrated glossary on stone deterioration patterns,https://github.com/ncarboni/ISCS,International Scientific Committee for Stone,<KI-Generiert> Vokabular,"<KI-Generiert> Inoffizielle Turtle-Version des ICOMOS-Glossars zu Mustern der Steinverschlechterung. Schlagwörter: Zustand, Wand und Stein","<KI-Generiert> Zustand, Wand, Stein",Zustand,Wand und Stein,,"deutsch, englisch","PDF, SKOS",-,,X,-,NW: Hilfreich,,True,,True,2019-09-20
Illustrated Glossary: Mosaics in Situ Project,https://www.getty.edu/conservation/publications_resources/pdf_publications/pdf/mosaicglossary.pdf,Getty Conservation Institute,<KI-Generiert> Fachtext,"<KI-Generiert> Archäologie / Mosaik, Maßnahmen, Zustand","<KI-Generiert> Maßnahmen, Zustand, Archäologie, Mosaik","Maßnahmen, Zustand",Archäologie / Mosaik,,englisch,PDF,-,,X,-,"NW: Hilfreich, Erklärung mit Bildern",gciweb@getty.edu,True,,True,
Illustrated Glossary: Technician Training for the Maintenance of In Situ Mosaics,https://www.getty.edu/conservation/publications_resources/pdf_publications/pdf/illustrated_glossary_2014.pdf,Getty Conservation Institute,<KI-Generiert> Fachtext,"<KI-Generiert> Maßnahmen, Zustand, Archäologie / Mosaik","<KI-Generiert> Maßnahmen, Zustand, Archäologie, Mosaik","Maßnahmen, Zustand",Archäologie / Mosaik,,englisch,PDF,-,,X,-,"NW: Hilfreich, Erklärung mit Bildern",gciweb@getty.edu,True,,True,
Infrastructure for Spatial Information in the European Community (INSPIRE),https://knowledge-base.inspire.ec.europa.eu/index_en,INfrastructure for SPatial Information in the European Community,<KI-Generiert> Fachtext,"<KI-Generiert> EU-weite Geodateninfrastuktur, Archäologie: Anhang I & III Schutzgebiete, Codelisten","<KI-Generiert> EU-weite Geodateninfrastuktur, Archäologie, Anhang I, Anhang III, Schutzgebiete, Codelisten","EU-weite Geodateninfrastuktur, Archäologie: Anhang I & III Schutzgebiete, Codelisten",INSPIRE,diverse,englisch,"Codelisten in SKOS/RDF, XML, HTML",,,<KI-Generiert> x,,"Anforderungen: Metadaten, Recherchierbarkeit über Suchdienste, Visualisierbarkeit über Darstellungsdienste und Downloadbarkeit über Downloaddienste; Technical Guidlines for Protected Sites: https://knowledge-base.inspire.ec.europa.eu/publications/inspire-data-specification-protected-sites-technical-guidelines_en",,,True,True,2025-03-06
Interdisciplinary Multilingual Dictionary,http://www.imd.pk.edu.pl/?lang=en&page=main,Cracow University of Technology,<KI-Generiert> Vokabular,"<KI-Generiert> Mehrsprachiges Fachwörterbuch für Restauratoren mit Begriffen aus den Bereichen: Restaurierung; Konservierung; Architektur und Maßnahmen, Zustand","<KI-Generiert> conservation-restauration, conservation du patrimoine, dictionnaire des termes relatifs à la conservation-restauration des biens culturels, dictionnaire multilingue, Wörterbuch für Restauratoren, Fachwörterbuch für Restauratoren, Mehrsprachiges Wörterbuch für Restauratoren, Wörterbuch für Restauratoren, Übersetzungshilfe, Begriffe der Konservierung und Restaurierung, Begriffe aus den Bereichen: Restaurierung; Konservierung; Architektur, Art restoration dictionary, Art restoration terminology database, Multilingual dictionary, Dziedzinowy słownik wielojęzyczny, Słownik konserwacji-restauracji","Maßnahmen, Zustand",Alle,,englisch etc.,HTML,-,,X,X,,https://www.researchgate.net/profile/Monika-Bogdanowska ,True,,True,2000-01-01
International image interoperability framework,https://iiif.io/,IIIF Consortium,<KI-Generiert> Fachtext,"<KI-Generiert> IIIF ist eine Reihe offener Standards für die Bereitstellung hochwertiger, zugeschriebener digitaler Objekte online in großem Umfang. Es ist auch eine internationale Gemeinschaft, die die IIIF-APIs entwickelt und implementiert.","<KI-Generiert> APIs, Dokumentation",Dokumentation,Alle,,englisch,API,X,,X,X,"NW: Scheint sehr hilfreich, Austausch/Verknüpfung könnte sinnvoll sein",https://iiif.io/contact/,True,,True,2025-04-07
Introduction to Metadata: Glossary,https://www.getty.edu/research/publications/electronic_publications/intrometadata/glossary.html,Getty Research Institute,<KI-Generiert> Fachtext,"<KI-Generiert> Die dritte Ausgabe von Introduction to Metadata, erstmals 1998 veröffentlicht, bietet einen Überblick über Metadaten, einschließlich ihrer Typen, Rollen und Eigenschaften; eine Diskussion über Metadaten in Bezug auf Webressourcen; und eine Beschreibung von Methoden, Werkzeugen, Standards und Protokollen zur Veröffentlichung und Verbreitung digitaler Sammlungen. Diese überarbeitete Ausgabe ist eine unverzichtbare Ressource auf diesem Gebiet und behandelt Fortschritte bei Standards wie Linked Open Data, Änderungen im Urheberrecht und neue Computertechnologien und bietet ein erweitertes Glossar mit wichtigen Begriffen.","<KI-Generiert> Metadaten, Dokumentation",Dokumentation,Alle,,englisch,HTML,-,"<KI-Generiert> © 2008, 2016 J. Paul Getty Trust",X,-,NW: Begriffe und Definitionen,Murtha Baca (mbaca@getty.edu) is Head of the Getty Vocabulary Program at the Getty Research Institute in Los Angeles,True,,True,2016-07-20
IPERION HS,https://www.iperionhs.eu/catalogue-of-services/,European research infrastructure for heritage science,<KI-Generiert> Fachtext,"<KI-Generiert> IPERION HS bietet transnationalen Zugang (TNA) zu einer breiten Palette von High-Level-Wissenschaftlichen Instrumenten, Methoden, Daten und Werkzeugen zur Förderung von Wissen und Innovation im Bereich der Heritage Science. Objekte, Maßnahmen, Methoden, Techniken, Zustand","<KI-Generiert> Objekte, Maßnahmen, Methoden, Techniken, Zustand, Heritage Science","Objekte, Maßnahmen, Methoden, Techniken, Zustand",Alle,<KI-Generiert> Europa,englisch etc.,HTML,-,,X,,Online-Shop?,"Scientific Coordinator Luca Pezzati, CNR Email: luca.pezzati@cnr.it",True,,True,2020-02-01
IRUG Spectral Database,http://www.irug.org/search-spectral-database,,Datenbank,<KI-Generiert> Infrarotspektren relevant zu Heritage Science,"<KI-Generiert> Infrarotspektren, Heritage Science",Infrarotspektren relevant zu Heritage Science,,,,,,,<KI-Generiert> x,,,,,,True,2025-01-01
Künstlerlexikon des Schweizerischen Institut für Kunstwissenschaft,https://recherche.sik-isea.ch/de/everything/on/sikart,Schweizerische Institut für Kunstwissenschaft,<KI-Generiert> Fachtext,<KI-Generiert> SIKART Lexikon | SIK-ISEA Recherche,<KI-Generiert> Künstlerlexikon,Objekte,Alle,<KI-Generiert> Schweiz,deutsch,HTML,-,,X,X,"NW: Scheint sehr hilfreich, Austausch/Verknüpfung könnte sinnvoll sein","Brunner, Paul MA Leiter Datenbank Kunstdokumentation paul.brunner@sik-isea.ch  Ritter, Nurja G. MA Wissenschaftliche Mitarbeiterin SIKART Lexikon Kunstdokumentation nurja.ritter@sik-isea.ch",True,,True,
Kunsttechnologische Rezepte des Mittelalters und der frühen Neuzeit,https://www.th-koeln.de/kulturwissenschaften/kunsttechnologische-rezeptsammlung_25065.php,"""Technische Hochschule Köln -  CICS - Cologne Institute of Conservation Sciences Institut für Restaurierungs- und Konservierungswissenschaft""",Vokabular,"<KI-Generiert> Webtool zur Darstellung mittelalterlicher und frühzeitlicher kunsttechnologischer Rezepte in handschriflticher Überlieferung (inklusive Übersetzung) und Fachthesaurus zu Historischen Begriffe für Materialien, Techniken und Farbbezeichnungen","<KI-Generiert> Farbtechnologie, Maltechnik, Leime, Bindemittel, Textiltechnik, Pergament, Leder, Papier, Chemie, Metallurgie, Glas, Materialien, Lexikon, Vocabularium","Webtool zur Darstellung mittelalterlicher und frühzeitlicher kunsttechnologischer Rezepte in handschriflticher Überlieferung (inklusive Übersetzung) und Fachthesaurus zu Historischen Begriffe für Materialien, Techniken und Farbbezeichnungen",Alle,DE,deutsch,HTML,-,,X,?,,,True,,True,2025-01-01
Language of Bindings Thesaurus,https://www.ligatus.org.uk/lob/,University of the Arts London,<KI-Generiert> Fachtext,<KI-Generiert> Papier,"<KI-Generiert> Zustand, Papier",Zustand,Papier,,englisch,"SKOS, Cidoc CRM",X,,X,,"NW: Scheint sehr hilfreich, Austausch/Verknüpfung könnte sinnvoll sein",The LoB website and its services are provided by the University of the Arts London: University of the Arts London 272 High Holborn London WC1V 7EY United Kingdom Tel: +44 (0)207 514 6000 Email for LoB: a.velios@arts.ac.uk,True,,False,
Lexical and Classification Resources,https://cool.culturalheritage.org/lex/,Foundation for Advancement in Conservation (FAIC),<KI-Generiert> Vokabular,"<KI-Generiert> Diese Seite bietet Wörterbücher, Thesauri, Klassifikationsschemata und verwandte Materialien, die hauptsächlich für die Verwaltung von Erhaltungsbibliotheken, Bildgebungsprojekten, Dokumentationssystemen usw. von Nutzen sind.","<KI-Generiert> Wörterbücher, Thesauri, Klassifikationsschemata, Erhaltungsbibliotheken, Bildgebungsprojekte, Dokumentationssysteme, Objekte, Literatur, Maßnahmen, Methoden, Techniken, Zustand","Objekte, Literatur, Maßnahmen, Methoden, Techniken, Zustand",Alle,,englisch,HTML,-,,X,,,,True,,True,2010-06-15
Lexikon Chemie,https://www.chemie.de/lexikon/,LUMITOS,<KI-Generiert> Fachtext,"<KI-Generiert> Das chemie.de Lexikon bietet Ihnen Artikel zu 34.608 Stichworten aus Chemie, Pharmazie und Materialwissenschaften sowie verwandten naturwissenschaftlichen Disziplinen.","<KI-Generiert> Chemie, Pharmazie, Materialwissenschaften",Chemie,Alle,,deutsch,HTML,-,,X,,,,True,,True,2025-01-01
Lexikon historische und exklusive Baustoffe,https://www.exklusive-baustoffe.de/baurat/lexikon/,XMC-Computer,<KI-Generiert> Fachtext,"<KI-Generiert> Lexikon historischer und exklusiver Baustoffe, das Definitionen und Erklärungen zu Materialien, Objekten und Techniken im Bereich Bauen mit Wand und Stein bietet.","<KI-Generiert> Materialien, Objekte, Techniken, Wand, Stein","Materialien, Objekte, Techniken",Wand und Stein,,deutsch,HTML,-,,X,,,,True,,True,2025-01-01
Lightweight Information Describing Objects (LIDO),https://cidoc.mini.icom.museum/working-groups/lido/lido-overview/about-lido/what-is-lido/  ,ICOM - International Council of Museums,<KI-Generiert> Datenschema,"<KI-Generiert> deskriptive (über das Objekt) und administrative Metadaten (zu Rechten, Metadaten, Ressourcen)",<KI-Generiert> Metadaten,"XML-Schema für Metadaten in online-Diensten wie Sammlungsdatenbanken oder Datenaustauschportalen, deskriptive (über das Objekt) und administrative Metadaten (zu Rechten, Metadaten, Ressourcen)",Metadaten,diverse,englisch,XML,,,,,,,True,True,False,
Linked Conservation Data,https://www.ligatus.org.uk/lcd/,"Linked Conservation Data Consortium (u.A. British Museum, Getty Research Institute, Institute of Conservation, San Francisco Museum of Modern Art, National Gallery London, Sapienza Universitá di Roma, Stanford Libraries, University of the Arts London)",Ontologie,<KI-Generiert> Projekt/Netzwerk verschiedener Institutionen zur Entwicklung/Verbesserung semantischer Verknüpfung und Zugänglichkeit von Konservierung-/Restaurierungsberichten,<KI-Generiert> Schlagwörter,Projekt/Netzwerk verschiedener Institutionen zur Entwicklung/Verbesserung semantischer Verknüpfung und Zugänglichkeit von Konservierung-/Restaurierungsberichten,Alle,diverse,englisch,,,,X,,"Viele Paralleln zu unserem Vorhaben. Projekt seit 2021 scheinbar nicht weiter gelaufen. Kontakt zu Beteiligten erwägbar, um von Erfahrung zu profitieren. ",,True,,False,
Linked Conservation Data - conservation-vocabularies GitHub Repository ,https://github.com/linked-conservation-data/conservation-vocabularies/tree/master,"Linked Conservation Data Consortium (u.A. British Museum, Getty Research Institute, Institute of Conservation, San Francisco Museum of Modern Art, National Gallery London, Sapienza Universitá di Roma, Stanford Libraries, University of the Arts London)",Vokabular,"<KI-Generiert> Öffentliches Repository für Vokabular, sowohl publizierte Thesauri, als auch institutsinterne Wortlisten können zur Verfügung gestellt werden. Das Repository hostet zudem auch Mappings/Konkordanzen zwischen den Vokabularen","<KI-Generiert> Vokabular, Thesauri, Wortlisten, Mappings, Konkordanzen","Öffentliches Repository für Vokabular, sowohl publizierte Thesauri, als auch institutsinterne Wortlisten können zur Verfügung gestellt werden. Das Repository hostet zudem auch Mappings/Konkordanzen zwischen den Vokabularen",Alle,diverse,englisch,GitHub,,,X,,Mögliches Vorbild für unsere Datenaustauschplattform --> insbesondere das Wiki als Anleitung zur Aufbereitung der Daten liefert gute Inspiration,Athanasios Velios - a.velios@arts.ac.uk;  Anastasia Axaridou - axaridou@ics.forth.gr; Ceri Binding - ceri.binding@southwales.ac.uk,True,,True,2020-04-07
Linked Open Archaeological Data Ontology (LADO),https://wissit.pages.gitlab.rlp.net/lado/index-en.html,,<KI-Generiert> Ontologie,<KI-Generiert> Linked Archaeological Data Ontology,"<KI-Generiert> Ontologie, Archäologie, Daten",,,,<KI-Generiert> en,,,,,,,,,True,True,2022-01-01
Linked Places Data Format (LPF),https://github.com/LinkedPasts/linked-places-format,,<KI-Generiert> Datenschema,"<KI-Generiert> Linked Places format is used to describe attestations of places in a standard way, primarily for linking gazetteer datasets.","<KI-Generiert> geojson, json-ld, gazetteer, pelagios",,,,,"<KI-Generiert> JSON-LD, GeoJSON",,,<KI-Generiert> x,,,,,True,True,2018-05-23
Massenfunde in archäologischen Sammlungen,https://www1.rgzm.de/kur/index.cfm?Layout=holz&Content=start&Language=de&Node=j1_2,Leibniz-Zentrum für Archäologie,<KI-Generiert> Datenbank,"<KI-Generiert> Onlinedatenbank für die fachgerechte Verfahrung zur Massenversorgung archäologischer Eisen- und Feuchtholzfunde. Die Datenbank wird Fachkollegen und interessierten Laien die Möglichkeit bieten, Konservierungsergebnisse eigenständig zu beurteilen und Lösungswege für spezifische Probleme der Nassholzkonservierung aufzeigen. Das Projekt wurde von 2008 bis 2011 durchgeführt. Maßnahmen, Zustand Archäologie / Nassholz","<KI-Generiert> Massenfunde, archäologische Sammlungen, Maßnahmen, Zustand, Archäologie, Nassholz","Maßnahmen, Zustand",Archäologie / Nassholz,,"deutsch, englisch",HTML,-,,X,,,,True,,True,2025-01-01
MaSC spectral database,https://mascgroup.org/database/data-submission/,User's group for mass spectrometry and chromatography,Datenbank,<KI-Generiert> MaSC spectral database enthält Massspektren relevant zu Heritage Science.,"<KI-Generiert> Massenspektren, Heritage Science",Massspektren relevant zu Heritage Science,,,,"<KI-Generiert> JCAMP-DX, NIST, PDF, ASCII",,,<KI-Generiert> x,,,,,,True,2015-05-21
Materialarchiv,https://materialarchiv.ch/de?type=all,Material Archiv CH,<KI-Generiert> Fachtext,"<KI-Generiert> Materialien, Techniken, Objekte","<KI-Generiert> Materialien, Techniken, Objekte","Materialien, Techniken, Objekte",Alle,,deutsch,HTML,-,,X,,,,True,,True,
Materials Testing Results,https://www.conservation-wiki.com/wiki/Materials_Testing_Results,American Institute for Conservation,<KI-Generiert> Fachtext,"<KI-Generiert> Die Seite „Material Testing Results“ enthält Testprotokolle und -ergebnisse. Die Beiträge werden von Einzelpersonen, Institutionen und Publikationen zusammengetragen. Da sich diese Ressource auf Materialien konzentriert, die getestet wurden, um ihre Sicherheit für die Verwendung mit Sammlungen während der Lagerung, Ausstellung und des Transports zu bestimmen, umfasst sie Materialien wie Stoffe, Platten, Befestigungselemente, Klebstoffe, Bänder, Farben und Dichtungsmittel. Die Mehrheit der in den Ressourcen aufgeführten Ergebnisse sind Oddy-Tests. Es werden jedoch auch andere Methoden, entweder allein oder in Kombination, zur Bewertung von Materialien verwendet, und alle Testmethoden, die zu diesem Zeitpunkt zur Bewertung eines Materials verwendet wurden, sind aufgeführt.","<KI-Generiert> Materialien, Testen, Forschung, Analyse, Präventive Pflege, Konservierung, Materialien und Behandlung ",Materialien,Alle,,englisch,MediaWiki,X,,X,,,,True,,True,2025-01-16
Metadaten-Harmonisierung zu Archäologischen Schutzgebieten,https://www.landesarchaeologien.de/kommissionen/archaeologie-und-informationssysteme/projekte-1,VLA,<KI-Generiert> Fachtext,"<KI-Generiert> Metadaten entsprechend INSPIRE, Empfehlungen für harmonisierten Gebrauch unter Berücksichtigung des Minimalkonsens der VLA-Klausurtagung 2010 in Dresden. Metadaten zu Schutzgebieten/Denkmälern","<KI-Generiert> Metadaten, INSPIRE, Schutzgebiete, Denkmäler","Metadaten entsprechend INSPIRE, Empfehlungen für harmonisierten Gebrauch unter Berücksichtigung des Minimalkonsens der VLA-Klausurtagung 2010 in Dresden",Metadaten zu Schutzgebieten/Denkmälern,DE,deutsch,PDF,,,<KI-Generiert> x,,https://www.landesarchaeologien.de/fileadmin/mediamanager/004-Kommissionen/Archaeologie-und-Informationssysteme/Recht/Metadaten-Harmonisierung_02.pdf,AG Recht des VLA,,True,True,2025-01-01
Monument Damage Information System (MONDIS),https://www.mondis.cz/en/web/portal,Technische Universität Prag,<KI-Generiert> Datenbank,"<KI-Generiert> Ein wissensbasiertes System zur Dokumentation und Analyse von Schäden an Kulturdenkmälern, das die Zusammenarbeit und den Erfahrungsaustausch unterstützt und die Integration bestehender Wissensquellen im Bereich des Schutzes des kulturellen Erbes fördert.","<KI-Generiert> Dokumentation, Zustand, Wand und Stein","Dokumenatation, Zustand",Wand und Stein,<KI-Generiert> Tschechische Republik,englisch,"OWL 2, OpenRDF Sesame triple store",X,<KI-Generiert> LGPL v3,X,,,,True,,True,2014-04-07
Monument Damage Information System (MONDIS),https://www.mondis.cz/en/web/portal,Technische Universität Prag,<KI-Generiert> Datenbank,"<KI-Generiert> MONDIS ist ein Forschungsprojekt, das in Partnerschaft zwischen der Tschechischen Technischen Universität in Prag und dem Institut für theoretische und angewandte Mechanik AS CR entwickelt wurde. Ziel ist die Unterstützung der Zusammenarbeit und des Erfahrungsaustauschs sowie die Verbesserung der Integration bestehender Wissensquellen im Bereich des Schutzes des kulturellen Erbes.","<KI-Generiert> kulturelles Erbe, Denkmalschutz, Schadensdokumentation, Schadensanalyse, Risikomanagement",,,<KI-Generiert> Tschechische Republik,<KI-Generiert> cs,"<KI-Generiert> Web, Mobile App",,<KI-Generiert> LGPL v3,<KI-Generiert> x,,,,True,,True,2014-04-07
Multilingual Bookbinding and Conservation Dictionary,http://digitalcellulose.com/wiki/,Suzy Morgan and Peter Verheyen,<KI-Generiert> Fachtext,"<KI-Generiert> Das Multilingual Bookbinding and Conservation Dictionary ist ein internationales Wörterbuch für Buchbinde- und Restaurierungsbegriffe. Ziel des Projekts ist es, alle bekannten Fachausdrücke zur Buchbinderei und Buchkonservierung in möglichst vielen Sprachen an einem Ort zu vereinen. Es enthält aktuelle und archaische Begriffe, um sowohl praktizierende Restauratoren und Buchbinder als auch Buchhistoriker zu unterstützen. Schlagwörter: Objekte, Maßnahmen, Techniken, Zustand, Papier","<KI-Generiert> Buchbinderei, Buchkonservierung, Terminologie, Übersetzung, Fachbegriffe, Glossar","Objekte, Maßnahmen, Techniken, Zustand",Papier,,"deutsch, englisch, etc.",Semantic MediaWiki,X,<KI-Generiert> Open Data Commons Attribution License,X,,,,True,,True,2021-05-21
Multilingual Glossary for Art Librarians,http://archive.ifla.org/VII/s30/pub/mg1.pdf,International Federation of Library Associations and Institutions,<KI-Generiert> Vokabular,"<KI-Generiert> Objekte, Techniken, Papier","<KI-Generiert> Objekte, Techniken, Papier","Objekte, Techniken",Papier,,"deutsch, englisch, etc.",PDF,-,,X,,,,True,,True,
Museumvokabular,http://www.museumsvokabular.de/,Pro Sammlung e.V.,<KI-Generiert> Vokabular,"<KI-Generiert> Umfangreiches, fachlich gestütztes Vokabular zur Erschließung von Museumsobjekten und zur Zusammenführung digitaler Objektinformationen unterschiedlicher Einrichtungen. Werkzeuge für Museen (Systematiken, Wortlisten, Thesauri). Schlagwörter: Dokumentation, Objekte, Techniken","<KI-Generiert> Dokumentation, Objekte, Techniken","Dokumentation, Objekte, Techniken",Alle,,deutsch,HTML,-,,X,,,,True,,True,2004-02-01
Nomenclature for museum cataloguing,https://page.nomenclature.info/index.app,,<KI-Generiert> Vokabular,"<KI-Generiert> Eine strukturierte und kontrollierte Liste von Begriffen für Objektnamen, die nach einem Klassifikationssystem geordnet ist, das als Grundlage für die Indexierung und Katalogisierung von Sammlungen von von Menschenhand gefertigten Objekten dient. Wird zur Erstellung und Verwaltung von Beschreibungsblättern von Sammlungsobjekten in Museen der Geisteswissenschaften und anderen Einrichtungen verwendet, wobei der Schwerpunkt auf Objekten liegt, die für die nordamerikanische Geschichte relevant sind.","<KI-Generiert> Nomenklatur, Museum, Katalogisierung, Objekte, Sammlungen, Terminologie, Vokabular",,,"<KI-Generiert> Kanada, USA",<KI-Generiert> Französisch,<KI-Generiert> HTML,,,<KI-Generiert> x,,,,True,,True,2018-09-01
