Name,Website,Institution,Kategorie,Kurz Beschreibung,Schlagworte,Land,Sprache,Software / Modell / Format,Semantic,Lizenz,Open access,Aktuell/gepflegt,Kommentar,Kontakt,Betrifft Konservierung/Restaurierung,Betrifft Denkmalschutz,Responsive
Glossar Papierrestaurierung in sechs Sprachen,https://www.goethe.de/ins/hon/de/bib/gpa.html,Goethe Institut,Vokabular,"Das „Glossar Papierrestaurierung“ dient internationalen Fachleuten als hilfreiches Werkzeug, um die entsprechenden Restaurierungsbegriffe in ihrer Sprache anwenden zu können. Dieses polyglotte Glossar ist nun als iBook für IOS in sechs Sprachen Deutsch, Englisch, Chinesisch, Koreanisch, Mongolisch und Japanisch erhältlich. Zusätzlich wird es nun als eBook für Android-Geräte und andere digitale Plattformen im EPUB-Format in sechs Sprachen angeboten.","Papier, Maßnahmen, Zustand",DE,"deutsch, englisch, chinesisch, koreanisch, mongolisch, japanisch","iBook, EPUB",-,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. ©Goethe-Institut,TRUE,FALSE,"NW: Nur Begriffe und Übersetzungen, ohne Erklärung","Luka Wong
Leiterin Information und Bibliothek
Tel.: +852 28299920
Fax: +852 28024363
Wai-Ka.Wong@goethe.de

 Alice Ho
Sachbearbeiterin Programmarbeit
Tel.: +852-28020088
Fax: +852 28024363
Alice.Ho@goethe.de",TRUE,FALSE,TRUE
Glossary of conservation terms,https://sha.org/conservation-facts/glossary/,The Society for Historical Archaeology,Vokabular,Glossar archäologischer Begriffe im Kontext von Konservierungsmaßnahmen und Zustandsbeschreibung von Funden.,"Konservierung, Maßnahmen, Zustand, Objekt",USA,englisch,HTML,-,CC BY-NC 3.0 US,TRUE,FALSE,"NW: Nicht vollständig, Begriffe und Erklärungen","Nicole Grinnan
Website Editor (2023-present)
Phone: (941) 524-0202
Email: ngrinnan@uwf.edu",TRUE,FALSE,TRUE
Glossary of Corrosion Related Terms,https://www.marineelectricity.com/wp-content/uploads/2021/04/Glossary-Of-Corrosion-Related-Terms.pdf,NACE International,Vokabular,Glossar zu Begriffen im Zusammenhang mit Korrosion. Enthält Schlagwörter zu Zustand und Metall.,"Zustand, Metall, Korrosion",diverse,englisch,PDF,-,"Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © 2002, NACE International.",TRUE,FALSE,NW: Begriffe und Erklärungen,,TRUE,FALSE,TRUE
Glossary of Digital Photography Terms,https://www.shortcourses.com/guide/guide5-1.html,Dennis P. Curtin,Vokabular,Glossar zu Begriffen aus dem Bereich der Fotografie.,"Fotografie, Technik",USA,englisch,HTML,-,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © 2011 Dennis P. Curtis,TRUE,FALSE,NW: Begriffe und Erklärungen,"Dennis P. Curtin
16 Preston Beach Road
Marblehead, MA 01945
781-631-1178
denny@shortcourses.com",TRUE,FALSE,TRUE
Grabungswörterbuch,https://ausgraeberei.de/grabungswoerterbuch/,Doris Fischer,Vokabular,Deutsch-Englisch-Wörterbuch zu Fachbegriffen für Grabungstechnik und Archäologie.,"Objekt, Maßnahmen, Technik, Zustand, Ausgrabung",DE,"deutsch, englisch",PDF,-,"Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © Norbert Fischer, Doris Fischer",TRUE,FALSE,"NW: Nur Begriffe und Übersetzungen, ohne Erklärung","Doris Fischer
Am Hagelkreuz 2
47839 Krefeld
doris.fischer@ausgraeberei.de
www.ausgraeberei.de",TRUE,TRUE,TRUE
Graphic Atlas,http://www.graphicsatlas.org/identification/,Rochester Institute of Technology,Fachtext,"Graphics Atlas ist eine webbasierte Ressource, die Objekte, Maßnahmen, Techniken und den Zustand von Kulturerbe-Sammlungen beschreibt. Sie behandelt auch Neue Medien und hilft bei der Identifikation von Fotografien und Drucken.","Objekt, Maßnahmen, Technik, Zustand, Neue Medien",USA,englisch,HTML,-,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. ©2025 Image Permanence Institute,TRUE,TRUE,NW: Sehr hilfreich für uns,Jennifer Jae Gutierrez (Executive Director) jjgpph@rit.edu,TRUE,FALSE,TRUE
Graphikportal,https://www.graphikportal.org/,Deutsches Dokumentationszentrum für Kunstgeschichte – Bildarchiv Foto Marburg,Datenbank,"Sammlung der Bestände renommierter graphischer Sammlungen aus Deutschland, Österreich und der Schweiz für eine sammlungsübergreifende Recherche.","Objekt, Papier, Kunst",DE,deutsch,HTML,-,"Variiert, viele nach PDM 1.0 oder CC BY-SA 4.0",TRUE,TRUE,NW: Sehr hilfreich für uns,gudrun.knaus@fotomarburg.de,TRUE,FALSE,TRUE
Handreichungen und Leitfäden - Landesamt für Denkmalpflege und Archäologie Sachsen-Anhalt,https://www.lda-lsa.de/denkmalpflege/handreichungen-und-leitfaeden,Landesamt für Denkmalpflege und Archäologie Sachsen-Anhalt,Fachtext,"Sammlung von Fachtexten der Abteilung Denkmalpflege am Landesamt für Denkmalpflege und Archäologie in Sachsen-Anhalt, darunter eine Handreichung zur Bestandsuntersuchung und Dokumentation von Baudenkmalen und Leitfäden zu restauratorsichen Untersuchungen und Maßnahmen, sowie eine separate Handreichung zu restauratorischen Maßnahmen an Baudenkmalen der Gründerzeit.","Baudenkmal, Maßnahmen, Dokumentation, Leitfäden, Bauuntersuchung, Restaurierung",DE,deutsch,PDF,,"Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © Landesamt für Denkmalpflege und Archäologie Sachsen-Anhalt –
Landesmuseum für Vorgeschichte Halle (Saale)",TRUE,FALSE,,,TRUE,TRUE,TRUE
Hausbücher der Zwölfbrüderstiftung von Nürnberg,www.nuernberger-hausbuecher.de,Germanisches Nationalmuseum,Datenbank,Sammlung der sogenannten Hausbücher der Mendelschen und Landauerschen Zwölfbrüderhausstiftungen mit Darstellungen zahlreicher Herstellungsverfahren und Handwerkserzeugnisse vom 15. bis zum 19. Jahrhundert.,"Technik, Handwerk",DE,deutsch,HTML,-,PDM 1.0,TRUE,FALSE,"NW: Sehr hilfreich, Austausch/Verknüpfung könnte sinnvoll sein","Dr. Christine Sauer
Gesamtprojektleitung

Stadtbibliothek im Bildungscampus Nürnberg
Gewerbemuseumsplatz 4
90403 Nürnberg
Telefon: 0911 / 231 – 28 32
Telefax: 0911 / 231 - 54 76
Christine.Sauer@stadt.nuernberg.de",TRUE,FALSE,TRUE
Health & Safety Guides A Conservator's Guide to Labeling Hazardous Chemicals  - Glossary,https://www.conservation-wiki.com/wiki/Health_%26_Safety:_A_Conservator%27s_Guide_to_Labeling_Hazardous_Chemicals#Glossary_.28takenfrom_29_CFR_1910._1200.28c.29.29,American Institute for Conservation,Fachtext,"Ein Leitfaden zur Kennzeichnung gefährlicher Chemikalien für Restaurator:innnen, der Informationen zu OSHA-Vorschriften, Kennzeichnungssystemen (NFPA, NPCA) und Verfahren zur ordnungsgemäßen Kennzeichnung gefährlicher Chemikalien enthält. Inklusive eines Glossars zu Begriffen aus diesem Bereich.","Gesundheit, Sicherheit, Chemikalien, Kennzeichnung, Restaurierung, OSHA, NFPA, NPCA, HMIS, Materialien, Behandlung, Forschung, Analyse, präventive Konservierung, Arbeitspraktiken",USA,englisch,MediaWiki,-,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © AIC und Autoren,TRUE,FALSE,NW: vgl. conservation-wiki,"AIC Bonnie Naugle (Communications & Membership Director)
bnaugle@culturalheritage.org",TRUE,FALSE,TRUE
HERACLES,https://www.european-mrs.com/networking-project/heracles ; https://cordis.europa.eu/project/id/700395/de,European Union’s Horizon 2020,Ressourcensammlung,"Kommerzielle Plattform zur Sammlung und Analyse von Daten, die bei der Entwicklung von fundstättenspezifischen Maßnahmen zur Erhaltungung und Schutz vor den Auswirkungen des Klimawandels helfen sollen.","Maßnahmen, Zustand, Wand und Stein",diverse,englisch,WebGenesis / SWEET,X,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,teilweise,FALSE,,,TRUE,TRUE,TRUE
Herein: Terminology,https://www.coe.int/en/web/herein-system/terminology,Council of Europe,Vokabular,"Mehrsprachiges Vokabular zu Begriffen und Institutionen aus dem Bereich des kulturellen Erbes im Aufgabengebiet des Europarats. Vor allem übergreifende Begriffe, Berufsbezeichnungen, und Verfahrensschritte.","Archäologie, Europa, Terminologie, Organisation, Berufe",diverse,"deutsch, englisch, bulgarisch, kroatisch, niederländisch, finnisch, französisch, griechisch, ungarisch, norwegisch, polnisch, portugiesisch, rumänisch, slovenisch, spanisch",PDF,-,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,FALSE,NW: Übersetzungen und z.T. Definitionen. Untersch. PDFs in untersch. Sprachen,birgitta.ringbeck@diplo.de,TRUE,TRUE,TRUE
hericare heritage conservation and restoration experience,https://www.hericare.de/german/start.php,"Hornemann-Institut, HAWK Hildesheim",Datenbank,"Online-Datenbank von Dokumentationen von interessanten Erhaltungsprojekten, u.a. von MONUFAKT der Deutschen Bundesstiftung Umwelt, mit vielen weiterführenden Informationen. Die Dokumentationen beinhalten Stein-, Wandmalerei-, Glas- und Metallrestaurierung.","Dokumentation, Restaurierung, Stein, Wandmalerei, Glas, Metall, MONUFAKT",DE,"deutsch, englisch",HTML,,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,FALSE,,,TRUE,TRUE,TRUE
IANUS FDM-Empfehlungen,https://ianus-fdz.de/it-empfehlungen/,"IANUS Forschungsdatenzentrum
Archäologie & Altertumswissenschaften",Fachtext,"Empfehlungen, Hintergrundinformationen und Praxistipps, die vor allem den Austausch, die Langzeitarchivierung und die Nachnutzbarkeit von digitalen Forschungsdaten adressieren. Umfasst technische Formate, Methoden, verschiedene Metadatenstandard-Empfehlungen, und verschiedene Empfehlungen zu kontrollierten Vokabularen.","Empfehlungen, Metadatenstandards, Vokabular, Langzeitarchivierung, Formate",DE,deutsch,HTML,,CC BY-SA 4.0,TRUE,FALSE,https://ianus-fdz.de/it-empfehlungen/projektphasen/dokumentation/kontrollierte-vokabulare-thesauri-und-normdaten/ - Empfehlungen zu kontrollierten Vokabularen; https://ianus-fdz.de/it-empfehlungen/projektphasen/dokumentation/strukturierung-von-metadaten/ - Empfehlungen zu Metadaten,,TRUE,TRUE,TRUE
IASA Cataloging Rules,https://www.iasa-web.org/cataloguing-rules/appendix-c-terms-physical-condition-sound-recordings,International Association of Sound and Audiovisual Archives,Vokabular,"Die IASA-Katalogisierungsregeln enthalten englischsprachige Begriffe und Definitionen, die sich auf häufige Zustandsprobleme bei Schallaufnahmen (Schallplatten und Magnetbänder) beziehen.","Zustand, Neue Medien, Schallaufnahmen, Schallplatten, Magnetbänder",diverse,englisch,HTML,-,© International Association of Sound and Audiovisual Archives (IASA)Keine spezifische Lizenz angegeben; urheberrechtlich geschützt.,TRUE,FALSE,NW: Nicht vollständig aber hilfreich,"Research Archives Section

Chair: Marija Dumnić Vilotijević
Institute of Musicology SASA
Knez Mihailova 36
11000 Belgrade
Serbia
Phone: +381 113287798
e-mail: marijadumnic@yahoo.com(link sends e-mail)",TRUE,FALSE,TRUE
iDAI.bibliography / Zenon,https://zenon.dainst.org/,Deutsches Archäologisches Institut (DAI),Datenbank,Datenbank zu archäologischer Fachliteratur.,"Literatur, Archäologie",DE,deutsch,HTML,-,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,NW: Hilfreich für uns. Austausch/Verknüpfung könnte hilfreich sein,idai.bibliography@dainst.de,TRUE,TRUE,TRUE
iDAI.chronontology,https://chronontology.dainst.org/,Deutsches Archäologisches Institut (DAI),Ontologie,"iDAI.chronontology (Kurzform: ChronOntology) ist ein Webservice, der Zeitbegriffe, also Epochen, Perioden und Ereignisse, mit Datierungen verbindet. Es ist ein Normdatenvokabular für sämtliche zeitbezogenen Informationen und Informationssysteme des DAI.","Chronologie, Datierung, Zeitstufen, Epochen",DE,"deutsch, englisch","HTML, JSON",,CC BY 4.0,TRUE,TRUE,,,TRUE,TRUE,TRUE
iDAI.field,https://field.idai.world/ ; https://github.com/dainst/idai-field,Deutsches Archäologisches Institut (DAI),Datenschema,"iDAI.field ist eine open-source-Software zur Erfassung von Grabungsdaten im Feld. Es handelt sich um ein Geographisches Informationssystem. Der Dienst bietet neben einem kollaborativen Ansatz auch die Integration von Bild- und Geodaten sowie die internationale Nutzbarkeit durch die mehrsprachige Benutzeroberfläche. Die Inhalte können über Relationen miteinander verbunden werden. Zudem bietet die Web-Anwendung die Option, Grabungsdokumentationen zu veröffentlichen.","Felddokumentation, Ausgrabung, Grabungsdokumentation, GIS",DE,"deutsch, englisch",?,,Apache License 2.0,TRUE,TRUE,,,FALSE,TRUE,TRUE
iDAI.gazetteer,https://gazetteer.dainst.org/app/#!/home,Deutsches Archäologisches Institut (DAI),Vokabular,"Webservice zur Verbindung, Zuordnung und Kontextualisierung von Ortsnamen mit Koordinaten und Informationen. Das Vokabular wird zudem auf der Webseite graphisch dargestellt.","Orte, Ortsnamen, Gazetteer",DE,"deutsch, englisch, arabisch","OWL, HTML, RDF/XML, JSON, GeoJSON, Shapefile, KML",,CC BY 4.0,TRUE,TRUE,,,TRUE,TRUE,TRUE
iDAI.thesaurus,http://thesauri.dainst.org/de.html,Deutsches Archäologisches Institut (DAI),Vokabular,"Thesaurus des Deutschen Archäologischen Instituts sowie alle historischen und aktuellen Vokabulare und Begriffssammlungen des Instituts. Der iDAI.world Thesaurus versammelt und vereinheitlicht alle Thesauri und Vokabulare der Bibliotheken und Projekte des Deutschen Archäologischen Instituts. Er umfasst Begriffssammlungen zu Orten, Regionen und Ländern, chronologischen Begriffen und Sachbegriffen.","Thesaurus, DAI, Deutsches Archäologisches Institut, Begriffssammlungen",DE,"deutsch, englisch, französisch, spanisch, polnisch, italienisch","SKOS, RDF/XML, RDF/Turtle, RDF/NTriples",,CC BY 4.0,TRUE,TRUE,,,TRUE,TRUE,TRUE
Illustrated Glossary by the York Glaziers Trust,http://www.yorkglazierstrust.org/resources/illustrated-glossary/,The York Glaziers Trust,Vokabular,Fotografisch illustriertes Glossar zu Objekten und Techniken im Bereich Glas.,"Objekt, Technik, Glas",GBR,englisch,HTML,-,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © 2017 York Glaziers Trust,TRUE,FALSE,"NW: Begriffe, Erklärungen und Fotos",info@yorkglazierstrust.org,TRUE,FALSE,TRUE
Illustrated Glossary of Paper Conservation: damages and treatments,https://finotracoeditora.files.wordpress.com/2022/06/illustrated-glossary-_en.pdf ; DOI:10.52884/eft-gloscon.002,"Silvana Bojanoski, Márcia Almada",Vokabular,"Ein illustriertes Glossar zur Papierkonservierung, das Schäden und Behandlungen im Zusammenhang mit Papier erläutert.","Konservierung, Papier, Schäden, Behandlung",diverse,"englisch, spanisch, portugiesisch, griechisch",PDF,X,"Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © Silvana Bojanoski, Márcia Almada",TRUE,FALSE,"NW: Begriffe, Erklärungen und Fotos. Restaurierungsbegriffe. Austausch/Verknüpfung könnte sinvoll sein",https://www.researchgate.net/profile/Marcia-Almada,TRUE,FALSE,TRUE
Illustrated glossary on stone deterioration patterns,https://github.com/ncarboni/ISCS,International Scientific Committee for Stone,Ontologie,Das ISCS Glossary ist eine inoffizielle Turtle-Version des ICOMOS-Glossars zu Steinverwitterungsmustern. Es bietet eine strukturierte Darstellung der Begriffe zur Beschreibung von Verwitterungsphänomenen an Steinmaterialien im Bereich der Denkmalpflege.,"Steinverwitterung, ICOMOS, Glossar, Ontologie, Denkmalpflege, Restaurierung",International,"deutsch, englisch","PDF, SKOS, TURTLE, N-Triples",-,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,NW: Hilfreich,,TRUE,TRUE,TRUE
Illustrated Glossary: Mosaics in Situ Project,https://www.getty.edu/conservation/publications_resources/pdf_publications/pdf/mosaicglossary.pdf,Getty Conservation Institute,Fachtext,"Dieses illustrierte Glossar wurde vom Getty Conservation Institute in Zusammenarbeit mit der Israel Antiquities Authority entwickelt und später mit dem Institut National du Patrimoine in Tunesien überarbeitet. Es bietet eine standardisierte Terminologie zur Beschreibung des Zustands und der Interventionen bei in situ Fußbodenmosaiken, unterstützt durch klare Definitionen und Illustrationen.","Mosaik, Konservierung, Glossar, Zustandsdokumentation, Restaurierung, In-situ",USA,englisch,PDF,-,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © J. Paul Getty Trust,TRUE,FALSE,"NW: Hilfreich, Erklärung mit Bildern",gciweb@getty.edu,TRUE,TRUE,TRUE
Illustrated Glossary: Technician Training for the Maintenance of In Situ Mosaics,https://www.getty.edu/conservation/publications_resources/pdf_publications/pdf/illustrated_glossary_2014.pdf,Getty Conservation Institute,Fachtext,"Dieses illustrierte Glossar begleitet das Handbuch zur Ausbildung von Technikern für die Pflege von in situ Mosaiken. Es bietet Definitionen und visuelle Beispiele für Begriffe, die häufig bei der Dokumentation von Konstruktionstechniken, früheren Eingriffen und Zuständen von Mosaiken verwendet werden.","Mosaikpflege, Konservierung, Glossar, Technikertraining, In-situ-Mosaiken",USA,"englisch, französisch, arabisch",PDF,-,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © J. Paul Getty Trust,TRUE,TRUE,"NW: Hilfreich, Erklärung mit Bildern",gciweb@getty.edu,TRUE,TRUE,TRUE
Infrastructure for Spatial Information in the European Community (INSPIRE),https://knowledge-base.inspire.ec.europa.eu/index_en,INfrastructure for SPatial Information in the European Community,Datenbank,"Die INSPIRE Knowledge Base ist das zentrale Informationsportal zur Umsetzung der INSPIRE-Richtlinie (2007/2/EG), die den Aufbau einer europäischen Geodateninfrastruktur für Umwelt- und Raumdaten zum Ziel hat. Sie bietet Zugang zu technischen Leitlinien, Datenmodellen, Metadatenstandards, Schulungsmaterialien und Werkzeugen zur Förderung der Interoperabilität von Geodaten innerhalb der EU.","Geodateninfrastruktur, INSPIRE, Metadaten, Interoperabilität, EU-Richtlinie, Umweltinformationen",International,englisch,"Codelisten in SKOS/RDF, XML, HTML",,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,"Anforderungen: Metadaten, Recherchierbarkeit über Suchdienste, Visualisierbarkeit über Darstellungsdienste und Downloadbarkeit über Downloaddienste; Technical Guidlines for Protected Sites: https://knowledge-base.inspire.ec.europa.eu/publications/inspire-data-specification-protected-sites-technical-guidelines_en",,TRUE,TRUE,TRUE
Interdisciplinary Multilingual Dictionary,http://www.imd.pk.edu.pl/?lang=en&page=main,Cracow University of Technology,Vokabular,"Das Interdisciplinary Multilingual Dictionary (IMD) ist ein mehrsprachiges Fachwörterbuch, das Begriffe aus verschiedenen technischen und wissenschaftlichen Disziplinen umfasst. Es dient als Referenz für Fachleute und Studierende, die in internationalen und interdisziplinären Kontexten arbeiten.","Mehrsprachiges Wörterbuch, Fachterminologie, Technik, Wissenschaft, Interdisziplinarität",PL,"englisch, polnisch, deutsch",HTML,-,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,,https://www.researchgate.net/profile/Monika-Bogdanowska,TRUE,TRUE,TRUE
International image interoperability framework,https://iiif.io/,IIIF Consortium,Ontologie,"IIIF ist ein internationaler Standard zur Bereitstellung und Präsentation digitaler Bilder und audiovisueller Inhalte. Es definiert offene APIs, die eine interoperable Darstellung, Annotation, Suche und den Zugriff auf hochauflösende Medien über verschiedene Plattformen hinweg ermöglichen.","Image API, Presentation API, Deep Zoom, digitale Sammlungen, Interoperabilität, Annotation",International,englisch,"API, JSON-LD",X,CC BY 4.0,TRUE,TRUE,"NW: Scheint sehr hilfreich, Austausch/Verknüpfung könnte sinnvoll sein",https://iiif.io/contact/,TRUE,TRUE,TRUE
Introduction to Metadata: Glossary,https://www.getty.edu/research/publications/electronic_publications/intrometadata/glossary.html,Getty Research Institute,Fachtext,"Das Glossar ist Teil der dritten Ausgabe von „Introduction to Metadata“, herausgegeben vom Getty Research Institute. Es bietet präzise Definitionen zentraler Begriffe im Bereich Metadaten, einschließlich Konzepte wie „crosswalk“, „markup language“ und „MARC“. Dieses Glossar dient als Referenz für Fachleute in Bibliotheken, Archiven, Museen und der digitalen Kulturerbe-Praxis.","Metadaten, Glossar, Getty, Informationswissenschaft, Katalogisierung, digitale Sammlungen",USA,englisch,HTML,-,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © J. Paul Getty Trust,TRUE,FALSE,NW: Begriffe und Definitionen,Murtha Baca (mbaca@getty.edu) is Head of the Getty Vocabulary Program at the Getty Research Institute in Los Angeles,TRUE,TRUE,TRUE
IPERION HS,https://www.iperionhs.eu/catalogue-of-services/,European research infrastructure for heritage science,Datenbank,"Der IPERION HS Catalogue of Services bietet einen umfassenden Überblick über Transnational Access (TNA) zu hochrangigen wissenschaftlichen Instrumenten, Methoden, Daten und Werkzeugen im Bereich der Heritage Science. Über die Plattformen ARCHLAB, FIXLAB und MOLAB ermöglicht IPERION HS Forschenden den Zugang zu einzigartigen europäischen Ressourcen für In-situ- und Laboruntersuchungen an Kunstwerken und Kulturerbeobjekten.","Heritage Science, Transnational Access, ARCHLAB, FIXLAB, MOLAB, Kulturerbe, Forschung",International,englisch etc.,HTML,-,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,Online-Shop?,"Scientific Coordinator
Luca Pezzati, CNR
Email: luca.pezzati@cnr.it",TRUE,TRUE,TRUE
IRUG Spectral Database,http://www.irug.org/search-spectral-database,,Datenbank,"Die IRUG Spectral Database ist eine internationale, peer-reviewte Sammlung von Infrarot- (IR) und Raman-Spektren, die speziell für die Analyse von Materialien im Bereich der Konservierung und Restaurierung entwickelt wurde. Sie enthält über 2.930 Spektren von Pigmenten, Bindemitteln, Harzen, Wachsen und anderen kunsttechnologischen Substanzen.","IRUG, Infrarotspektroskopie, Raman-Spektroskopie, Materialanalyse, Kulturerbe, Spektraldatenbank",USA,englisch,"JCAMP-DX, HTML",,Teilweise offen; Zugriff auf Spektren erfordert Mitgliedschaft und Beitrag von Daten,"Teilweise (Metadaten öffentlich, vollständige Spektren nach Anmeldung)",TRUE,,,TRUE,TRUE,TRUE
Kernfeldkatalog der AG Denkmalinformationssysteme der VDL,?,Vereinigung der Denkmalfachämter in den Ländern,,,,,,,,,,,,,,,
Künstlerlexikon des Schweizerischen Institut für Kunstwissenschaft,https://recherche.sik-isea.ch/de/everything/on/sikart,Schweizerische Institut für Kunstwissenschaft,Datenbank,"Das SIKART Lexikon ist ein redaktionell betreutes, regelmäßig aktualisiertes und reich illustriertes Online-Nachschlagewerk des Schweizerischen Instituts für Kunstwissenschaft (SIK-ISEA). Es bietet umfassende Informationen zu historischen und zeitgenössischen Künstlerinnen und Künstlern der Schweiz, einschließlich biografischer Daten, Werkverzeichnisse, Ausstellungen, Literatur und Auszeichnungen.","Schweizer Kunst, Künstlerbiografien, Kunstlexikon, SIK-ISEA, Kunstgeschichte, Datenbank",CH,"deutsch, französisch, italienisch, englisch",HTML,-,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,"NW: Scheint sehr hilfreich, Austausch/Verknüpfung könnte sinnvoll sein","Brunner, Paul MA
Leiter Datenbank
Kunstdokumentation
paul.brunner@sik-isea.ch

Ritter, Nurja G. MA
Wissenschaftliche Mitarbeiterin SIKART Lexikon
Kunstdokumentation
nurja.ritter@sik-isea.ch",TRUE,TRUE,TRUE
Kunsttechnologische Rezepte des Mittelalters und der frühen Neuzeit,https://www.th-koeln.de/kulturwissenschaften/kunsttechnologische-rezeptsammlung_25065.php,"""Technische Hochschule Köln - 
CICS - Cologne Institute of Conservation Sciences
Institut für Restaurierungs- und Konservierungswissenschaft""",Datenbank,"Die Kunsttechnologische Rezeptsammlung ist eine digitale Datenbank, die mittelalterliche und frühneuzeitliche kunsttechnologische Rezepte aus handschriftlicher Überlieferung erfasst. Sie bietet Transkriptionen, moderne Übersetzungen und Verschlagwortungen von Rezepten zur Farbherstellung, Maltechnik, Textil- und Metallbearbeitung sowie weiteren kunsttechnologischen Verfahren.","kunsttechnologische Rezepte, Handschriften, Farbherstellung, Maltechnik, Restaurierung, Materialkunde",DE,deutsch,HTML,-,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,,,TRUE,TRUE,TRUE
Language of Bindings Thesaurus,https://www.ligatus.org.uk/lob/,University of the Arts London,Ontologie,Der Language of Bindings Thesaurus (LoB) ist ein kontrolliertes Vokabular zur Beschreibung historischer Bucheinbände. Er bietet standardisierte Begriffe für Merkmale und Techniken der Buchbindung und unterstützt Fachleute bei der präzisen Dokumentation und dem Austausch von Informationen über Bucheinbände.,"Bucheinband, Buchbindung, Thesaurus, kontrolliertes Vokabular, historische Bücher, Dokumentation",UK,englisch,"SKOS, Cidoc CRM",X,CC BY-SA 4.0,TRUE,TRUE,"NW: Scheint sehr hilfreich, Austausch/Verknüpfung könnte sinnvoll sein","The LoB website and its services are provided by the University of the Arts London:
University of the Arts London
272 High Holborn
London WC1V 7EY
United Kingdom
Tel: +44 (0)207 514 6000
Email for LoB: a.velios@arts.ac.uk",TRUE,FALSE,FALSE
Lehm-Glossar,https://www.lda-lsa.de/veroeffentlichungen/lehm-glossar,Landesamt für Denkmalpflege und Archäologie Sachsen-Anhalt,Vokabular,"Ein viersprachiges, illustriertes Glossar von Fachbegriffen der traditionellen Lehmbautechnik (Wände). Es kann als Grundlagen- oder Nachschlagewerk und gleichzeitig als praktischer Leitfaden für die Feldarbeit für Funde und Befunde mit Lehmbautechnik dienen.","Lehmbau, Fachwerk, Bautechnik, Lehm, Methoden, Bauwerk, Gebäude",DE,"deutsch, englisch, französisch, spanisch",PDF,,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © Landesamt für Denkmalpflege und Archäologie Sachsen-Anhalt 2019,TRUE,FALSE,,,TRUE,TRUE,TRUE
Leitfaden zur Erstellung von restauratorischen Dokumentationen in der Bau- und Kunstdenkmalpflege,https://www.berlin.de/landesdenkmalamt/service/formulare/#Restaurierung,Landesdenkmalamt Berlin,Fachtext,"Der Leitfaden umfasst verbindliche Vorgaben zu Inhalt, Form und Medien einer restauratorischen Dokumentation für das Land Berlin und enthält eine Zusammenstellung der zeitgemäß wichtigsten Anforderungen. Die Vorgaben für Materialien und Medien bezüglich der Archiv- und Alterungsbeständigkeit ermöglichen dem LDA seiner Aufgabe der Langzeitarchivierung nachzukommen. Auf der Webseite sind auch weitere Formulare für Restaurierungsmaßnahmen vorhanden.","Dokumentationsrichtlinien, Formulare, Baudenkmalpflege, Kunstdenkmalpflege, Restaurierung, Materialien",DE,deutsch,PDF,,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,,,TRUE,FALSE,TRUE
Lexical and Classification Resources,https://cool.culturalheritage.org/lex/,Foundation for Advancement in Conservation (FAIC),Ressourcensammlung,"Eine umfangreiche Sammlung von Glossaren, Thesauri, Klassifikationsschemata und verwandten Ressourcen, die sich auf die Konservierung und Restaurierung von Kulturgütern konzentrieren. Diese Sammlung dient als Referenz für Fachleute in der Denkmalpflege und verwandten Bereichen.","Konservierung, Restaurierung, Glossar, Thesaurus, Klassifikation, Kulturerbe, Dokumentation",USA,englisch,HTML,-,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,,,TRUE,TRUE,TRUE
